EmployeeID,BenefitID,SatisfactionScore,Comments,neg,neu,pos,compound,Sentiment
4675,9,5,Perfect for my work-life balance.,0.0,0.519,0.481,0.5719,positive
802,7,4,Sufficient time off provided.,0.0,1.0,0.0,0.0,neutral
1207,17,3,"Standard, nothing exceptional.",0.0,1.0,0.0,0.0,neutral
2911,7,3,Average amount of vacation days.,0.0,1.0,0.0,0.0,neutral
4793,18,3,"Standard, nothing exceptional.",0.0,1.0,0.0,0.0,neutral
3574,29,5,"Generous vacation days, very happy.",0.0,0.291,0.709,0.807,positive
4832,21,3,"Average, but necessary.",0.0,1.0,0.0,0.0,neutral
3488,20,2,Complicated reimbursement process.,0.0,1.0,0.0,0.0,neutral
1336,29,2,Could use more vacation time.,0.0,1.0,0.0,0.0,neutral
469,20,5,Incredible support for education.,0.0,0.526,0.474,0.4019,positive
1221,28,3,"Average, but necessary.",0.0,1.0,0.0,0.0,neutral
3900,11,5,Excellent coverage and affordable.,0.0,0.448,0.552,0.5719,positive
1793,9,3,"Good, but sometimes difficult.",0.451,0.278,0.271,-0.3182,negative
482,18,1,Unhappy with this benefit.,0.359,0.256,0.385,0.0516,neutral
2032,2,2,Not happy with the coverage options.,0.375,0.625,0.0,-0.4585,negative
368,26,4,"Good value, I enjoy the variety.",0.0,0.19,0.81,0.8176,positive
3623,5,4,"Very flexible, I appreciate it.",0.0,0.279,0.721,0.6335,positive
4967,19,1,Membership is not very useful.,0.396,0.604,0.0,-0.3865,negative
894,22,3,"Satisfactory, but could improve.",0.0,0.263,0.737,0.6808,positive
4742,16,4,"Great coverage, but a bit expensive.",0.0,0.611,0.389,0.3716,positive
968,20,3,Helps but limited in scope.,0.329,0.42,0.252,-0.1406,neutral
2006,9,1,Inconvenient and inefficient.,0.545,0.455,0.0,-0.34,negative
2882,14,5,Fantastic benefit! I use it daily.,0.0,0.303,0.697,0.784,positive
3716,28,4,"Solid plan, happy with it.",0.0,0.361,0.639,0.6486,positive
4004,17,1,Unhappy with this benefit.,0.359,0.256,0.385,0.0516,neutral
3225,9,4,"Very flexible, I appreciate it.",0.0,0.279,0.721,0.6335,positive
815,14,5,Fantastic benefit! I use it daily.,0.0,0.303,0.697,0.784,positive
2725,10,1,Difficult to find suitable care.,0.287,0.345,0.368,0.1779,neutral
4147,26,4,"Good value, I enjoy the variety.",0.0,0.19,0.81,0.8176,positive
1780,13,5,Perfect for my work-life balance.,0.0,0.519,0.481,0.5719,positive
1281,5,1,Inconvenient and inefficient.,0.545,0.455,0.0,-0.34,negative
4698,18,4,Good plan with decent returns.,0.0,0.58,0.42,0.4404,positive
1407,16,2,Not happy with the coverage options.,0.375,0.625,0.0,-0.4585,negative
491,21,5,Great peace of mind for my family.,0.0,0.397,0.603,0.8225,positive
4219,14,2,Not many locations available.,0.0,1.0,0.0,0.0,neutral
1126,1,5,Top-notch retirement plan.,0.0,1.0,0.0,0.0,neutral
1142,25,1,Disappointing service.,0.762,0.238,0.0,-0.4939,negative
3731,20,4,Great for further studies.,0.0,0.423,0.577,0.6249,positive
2212,18,1,Unhappy with this benefit.,0.359,0.256,0.385,0.0516,neutral
2260,13,2,Not much flexibility offered.,0.404,0.596,0.0,-0.2584,negative
305,3,5,"Generous vacation days, very happy.",0.0,0.291,0.709,0.807,positive
2833,7,5,"Generous vacation days, very happy.",0.0,0.291,0.709,0.807,positive
3990,6,1,Unhappy with this benefit.,0.359,0.256,0.385,0.0516,neutral
2795,28,4,"Solid plan, happy with it.",0.0,0.361,0.639,0.6486,positive
4793,17,1,Unhappy with this benefit.,0.359,0.256,0.385,0.0516,neutral
4912,2,3,"Satisfactory, but could improve.",0.0,0.263,0.737,0.6808,positive
4049,19,4,"Good value, I enjoy the variety.",0.0,0.19,0.81,0.8176,positive
288,8,4,Sufficient time off provided.,0.0,1.0,0.0,0.0,neutral
3298,29,4,Sufficient time off provided.,0.0,1.0,0.0,0.0,neutral
1203,1,1,Unhappy with this benefit.,0.359,0.256,0.385,0.0516,neutral
4319,20,1,Not worth the hassle.,0.357,0.643,0.0,-0.1695,neutral
172,25,4,"Solid plan, happy with it.",0.0,0.361,0.639,0.6486,positive
4257,16,2,Not happy with the coverage options.,0.375,0.625,0.0,-0.4585,negative
2992,10,5,Very convenient and cost-effective.,0.0,1.0,0.0,0.0,neutral
2128,15,5,Incredible support for education.,0.0,0.526,0.474,0.4019,positive
3312,11,2,Not happy with the coverage options.,0.375,0.625,0.0,-0.4585,negative
836,7,2,Could use more vacation time.,0.0,1.0,0.0,0.0,neutral
3637,10,4,Good quality care available.,0.0,0.247,0.753,0.7269,positive
1653,17,2,Returns are not as expected.,0.0,1.0,0.0,0.0,neutral
3995,11,1,"Terrible service, would not recommend.",0.635,0.365,0.0,-0.6381,negative
725,6,5,Top-notch retirement plan.,0.0,1.0,0.0,0.0,neutral
3406,8,3,Average amount of vacation days.,0.0,1.0,0.0,0.0,neutral
4996,20,5,Incredible support for education.,0.0,0.526,0.474,0.4019,positive
2454,15,4,Great for further studies.,0.0,0.423,0.577,0.6249,positive
3117,18,4,Good plan with decent returns.,0.0,0.58,0.42,0.4404,positive
2885,22,2,Not happy with the coverage options.,0.375,0.625,0.0,-0.4585,negative
741,21,3,"Average, but necessary.",0.0,1.0,0.0,0.0,neutral
362,25,2,Coverage is minimal.,0.0,1.0,0.0,0.0,neutral
3357,8,2,Could use more vacation time.,0.0,1.0,0.0,0.0,neutral
699,10,1,Difficult to find suitable care.,0.287,0.345,0.368,0.1779,neutral
4938,16,2,Not happy with the coverage options.,0.375,0.625,0.0,-0.4585,negative
2576,17,5,Top-notch retirement plan.,0.0,1.0,0.0,0.0,neutral
1354,3,4,Sufficient time off provided.,0.0,1.0,0.0,0.0,neutral
138,23,2,Coverage is minimal.,0.0,1.0,0.0,0.0,neutral
649,20,2,Complicated reimbursement process.,0.0,1.0,0.0,0.0,neutral
4287,8,2,Could use more vacation time.,0.0,1.0,0.0,0.0,neutral
196,27,3,"Standard, nothing exceptional.",0.0,1.0,0.0,0.0,neutral
852,19,2,Not many locations available.,0.0,1.0,0.0,0.0,neutral
2473,6,4,Good plan with decent returns.,0.0,0.58,0.42,0.4404,positive
682,3,5,"Generous vacation days, very happy.",0.0,0.291,0.709,0.807,positive
3974,5,1,Inconvenient and inefficient.,0.545,0.455,0.0,-0.34,negative
3492,2,4,"Great coverage, but a bit expensive.",0.0,0.611,0.389,0.3716,positive
3530,25,2,Coverage is minimal.,0.0,1.0,0.0,0.0,neutral
2653,27,1,Unhappy with this benefit.,0.359,0.256,0.385,0.0516,neutral
266,9,5,Perfect for my work-life balance.,0.0,0.519,0.481,0.5719,positive
2346,15,5,Incredible support for education.,0.0,0.526,0.474,0.4019,positive
2343,14,2,Not many locations available.,0.0,1.0,0.0,0.0,neutral
1109,10,4,Good quality care available.,0.0,0.247,0.753,0.7269,positive
2078,21,3,"Average, but necessary.",0.0,1.0,0.0,0.0,neutral
563,29,4,Sufficient time off provided.,0.0,1.0,0.0,0.0,neutral
184,7,4,Sufficient time off provided.,0.0,1.0,0.0,0.0,neutral
4361,27,1,Unhappy with this benefit.,0.359,0.256,0.385,0.0516,neutral
3467,5,1,Inconvenient and inefficient.,0.545,0.455,0.0,-0.34,negative
2055,30,5,Incredible support for education.,0.0,0.526,0.474,0.4019,positive
2059,29,5,"Generous vacation days, very happy.",0.0,0.291,0.709,0.807,positive
599,5,1,Inconvenient and inefficient.,0.545,0.455,0.0,-0.34,negative
2762,18,4,Good plan with decent returns.,0.0,0.58,0.42,0.4404,positive
441,5,4,"Very flexible, I appreciate it.",0.0,0.279,0.721,0.6335,positive
4374,29,5,"Generous vacation days, very happy.",0.0,0.291,0.709,0.807,positive
3695,27,3,"Standard, nothing exceptional.",0.0,1.0,0.0,0.0,neutral
2590,3,3,Average amount of vacation days.,0.0,1.0,0.0,0.0,neutral
4956,4,3,"Standard, nothing exceptional.",0.0,1.0,0.0,0.0,neutral
3771,20,2,Complicated reimbursement process.,0.0,1.0,0.0,0.0,neutral
2209,17,5,Top-notch retirement plan.,0.0,1.0,0.0,0.0,neutral
3662,6,2,Returns are not as expected.,0.0,1.0,0.0,0.0,neutral
952,4,2,Returns are not as expected.,0.0,1.0,0.0,0.0,neutral
3719,30,1,Not worth the hassle.,0.357,0.643,0.0,-0.1695,neutral
3247,24,2,Not many locations available.,0.0,1.0,0.0,0.0,neutral
2559,30,5,Incredible support for education.,0.0,0.526,0.474,0.4019,positive
2493,27,1,Unhappy with this benefit.,0.359,0.256,0.385,0.0516,neutral
3651,16,3,"Satisfactory, but could improve.",0.0,0.263,0.737,0.6808,positive
810,10,2,Limited availability.,0.655,0.345,0.0,-0.2263,negative
2320,22,1,"Terrible service, would not recommend.",0.635,0.365,0.0,-0.6381,negative
4713,22,1,"Terrible service, would not recommend.",0.635,0.365,0.0,-0.6381,negative
2631,24,5,Fantastic benefit! I use it daily.,0.0,0.303,0.697,0.784,positive
3065,16,5,Excellent coverage and affordable.,0.0,0.448,0.552,0.5719,positive
3340,13,4,"Very flexible, I appreciate it.",0.0,0.279,0.721,0.6335,positive
4813,19,1,Membership is not very useful.,0.396,0.604,0.0,-0.3865,negative
4893,4,3,"Standard, nothing exceptional.",0.0,1.0,0.0,0.0,neutral
3494,12,1,Not worth the hassle.,0.357,0.643,0.0,-0.1695,neutral
3055,15,3,Helps but limited in scope.,0.329,0.42,0.252,-0.1406,neutral
3191,30,5,Incredible support for education.,0.0,0.526,0.474,0.4019,positive
2266,14,2,Not many locations available.,0.0,1.0,0.0,0.0,neutral
1477,14,5,Fantastic benefit! I use it daily.,0.0,0.303,0.697,0.784,positive
2525,17,1,Unhappy with this benefit.,0.359,0.256,0.385,0.0516,neutral
213,29,1,Barely any time off given.,0.0,1.0,0.0,0.0,neutral
3063,24,5,Fantastic benefit! I use it daily.,0.0,0.303,0.697,0.784,positive
4241,18,4,Good plan with decent returns.,0.0,0.58,0.42,0.4404,positive
3764,28,5,Great peace of mind for my family.,0.0,0.397,0.603,0.8225,positive
44,2,4,"Great coverage, but a bit expensive.",0.0,0.611,0.389,0.3716,positive
3110,4,4,Good plan with decent returns.,0.0,0.58,0.42,0.4404,positive
911,6,3,"Standard, nothing exceptional.",0.0,1.0,0.0,0.0,neutral
4809,26,1,Membership is not very useful.,0.396,0.604,0.0,-0.3865,negative
876,20,2,Complicated reimbursement process.,0.0,1.0,0.0,0.0,neutral
4393,15,5,Incredible support for education.,0.0,0.526,0.474,0.4019,positive
2886,28,5,Great peace of mind for my family.,0.0,0.397,0.603,0.8225,positive
764,4,2,Returns are not as expected.,0.0,1.0,0.0,0.0,neutral
1119,17,1,Unhappy with this benefit.,0.359,0.256,0.385,0.0516,neutral
3912,21,4,"Solid plan, happy with it.",0.0,0.361,0.639,0.6486,positive
4454,1,1,Unhappy with this benefit.,0.359,0.256,0.385,0.0516,neutral
2576,4,1,Unhappy with this benefit.,0.359,0.256,0.385,0.0516,neutral
114,24,5,Fantastic benefit! I use it daily.,0.0,0.303,0.697,0.784,positive
1525,2,3,"Satisfactory, but could improve.",0.0,0.263,0.737,0.6808,positive
4702,24,5,Fantastic benefit! I use it daily.,0.0,0.303,0.697,0.784,positive
808,20,3,Helps but limited in scope.,0.329,0.42,0.252,-0.1406,neutral
3890,15,5,Incredible support for education.,0.0,0.526,0.474,0.4019,positive
1987,22,2,Not happy with the coverage options.,0.375,0.625,0.0,-0.4585,negative
3563,17,3,"Standard, nothing exceptional.",0.0,1.0,0.0,0.0,neutral
4646,28,4,"Solid plan, happy with it.",0.0,0.361,0.639,0.6486,positive
1518,7,5,"Generous vacation days, very happy.",0.0,0.291,0.709,0.807,positive
1433,2,5,Excellent coverage and affordable.,0.0,0.448,0.552,0.5719,positive
310,16,3,"Satisfactory, but could improve.",0.0,0.263,0.737,0.6808,positive
3635,16,3,"Satisfactory, but could improve.",0.0,0.263,0.737,0.6808,positive
4100,15,1,Not worth the hassle.,0.357,0.643,0.0,-0.1695,neutral
2524,5,5,Perfect for my work-life balance.,0.0,0.519,0.481,0.5719,positive
2031,26,5,Fantastic benefit! I use it daily.,0.0,0.303,0.697,0.784,positive
4911,16,5,Excellent coverage and affordable.,0.0,0.448,0.552,0.5719,positive
1490,22,5,Excellent coverage and affordable.,0.0,0.448,0.552,0.5719,positive
3205,8,1,Barely any time off given.,0.0,1.0,0.0,0.0,neutral
3638,13,1,Inconvenient and inefficient.,0.545,0.455,0.0,-0.34,negative
4339,19,5,Fantastic benefit! I use it daily.,0.0,0.303,0.697,0.784,positive
3187,5,4,"Very flexible, I appreciate it.",0.0,0.279,0.721,0.6335,positive
1745,10,3,Helps a bit with childcare costs.,0.0,0.606,0.394,0.3818,positive
606,18,4,Good plan with decent returns.,0.0,0.58,0.42,0.4404,positive
2681,26,3,"It's okay, I use it occasionally.",0.0,0.678,0.322,0.2263,positive
1713,29,3,Average amount of vacation days.,0.0,1.0,0.0,0.0,neutral
3404,7,4,Sufficient time off provided.,0.0,1.0,0.0,0.0,neutral
969,2,4,"Great coverage, but a bit expensive.",0.0,0.611,0.389,0.3716,positive
974,6,4,Good plan with decent returns.,0.0,0.58,0.42,0.4404,positive
1954,29,2,Could use more vacation time.,0.0,1.0,0.0,0.0,neutral
1954,12,1,Not worth the hassle.,0.357,0.643,0.0,-0.1695,neutral
3741,17,3,"Standard, nothing exceptional.",0.0,1.0,0.0,0.0,neutral
3656,16,4,"Great coverage, but a bit expensive.",0.0,0.611,0.389,0.3716,positive
2766,29,1,Barely any time off given.,0.0,1.0,0.0,0.0,neutral
380,18,1,Unhappy with this benefit.,0.359,0.256,0.385,0.0516,neutral
49,5,5,Perfect for my work-life balance.,0.0,0.519,0.481,0.5719,positive
640,15,5,Incredible support for education.,0.0,0.526,0.474,0.4019,positive
4239,23,5,Great peace of mind for my family.,0.0,0.397,0.603,0.8225,positive
4366,20,4,Great for further studies.,0.0,0.423,0.577,0.6249,positive
1764,23,2,Coverage is minimal.,0.0,1.0,0.0,0.0,neutral
3151,1,5,Top-notch retirement plan.,0.0,1.0,0.0,0.0,neutral
521,26,3,"It's okay, I use it occasionally.",0.0,0.678,0.322,0.2263,positive
26,10,5,Very convenient and cost-effective.,0.0,1.0,0.0,0.0,neutral
3420,19,5,Fantastic benefit! I use it daily.,0.0,0.303,0.697,0.784,positive
374,28,1,Disappointing service.,0.762,0.238,0.0,-0.4939,negative
4483,6,2,Returns are not as expected.,0.0,1.0,0.0,0.0,neutral
4196,22,4,"Great coverage, but a bit expensive.",0.0,0.611,0.389,0.3716,positive
747,6,5,Top-notch retirement plan.,0.0,1.0,0.0,0.0,neutral
552,10,3,Helps a bit with childcare costs.,0.0,0.606,0.394,0.3818,positive
1887,1,3,"Standard, nothing exceptional.",0.0,1.0,0.0,0.0,neutral
1233,4,1,Unhappy with this benefit.,0.359,0.256,0.385,0.0516,neutral
4141,30,5,Incredible support for education.,0.0,0.526,0.474,0.4019,positive
301,22,4,"Great coverage, but a bit expensive.",0.0,0.611,0.389,0.3716,positive
3068,9,3,"Good, but sometimes difficult.",0.451,0.278,0.271,-0.3182,negative
1951,15,4,Great for further studies.,0.0,0.423,0.577,0.6249,positive
1219,14,4,"Good value, I enjoy the variety.",0.0,0.19,0.81,0.8176,positive
2951,6,1,Unhappy with this benefit.,0.359,0.256,0.385,0.0516,neutral
3209,15,5,Incredible support for education.,0.0,0.526,0.474,0.4019,positive
2439,17,1,Unhappy with this benefit.,0.359,0.256,0.385,0.0516,neutral
1119,21,2,Coverage is minimal.,0.0,1.0,0.0,0.0,neutral
3349,30,5,Incredible support for education.,0.0,0.526,0.474,0.4019,positive
1910,30,1,Not worth the hassle.,0.357,0.643,0.0,-0.1695,neutral
3381,13,4,"Very flexible, I appreciate it.",0.0,0.279,0.721,0.6335,positive
1559,12,2,Complicated reimbursement process.,0.0,1.0,0.0,0.0,neutral
1537,23,3,"Average, but necessary.",0.0,1.0,0.0,0.0,neutral
1579,24,3,"It's okay, I use it occasionally.",0.0,0.678,0.322,0.2263,positive
2171,23,1,Disappointing service.,0.762,0.238,0.0,-0.4939,negative
765,7,3,Average amount of vacation days.,0.0,1.0,0.0,0.0,neutral
1932,12,5,Incredible support for education.,0.0,0.526,0.474,0.4019,positive
2556,4,3,"Standard, nothing exceptional.",0.0,1.0,0.0,0.0,neutral
3090,21,2,Coverage is minimal.,0.0,1.0,0.0,0.0,neutral
3017,6,2,Returns are not as expected.,0.0,1.0,0.0,0.0,neutral
701,6,1,Unhappy with this benefit.,0.359,0.256,0.385,0.0516,neutral
3315,18,2,Returns are not as expected.,0.0,1.0,0.0,0.0,neutral
1220,12,4,Great for further studies.,0.0,0.423,0.577,0.6249,positive
2692,28,3,"Average, but necessary.",0.0,1.0,0.0,0.0,neutral
2312,26,5,Fantastic benefit! I use it daily.,0.0,0.303,0.697,0.784,positive
1709,20,4,Great for further studies.,0.0,0.423,0.577,0.6249,positive
2705,16,4,"Great coverage, but a bit expensive.",0.0,0.611,0.389,0.3716,positive
125,19,5,Fantastic benefit! I use it daily.,0.0,0.303,0.697,0.784,positive
3516,28,4,"Solid plan, happy with it.",0.0,0.361,0.639,0.6486,positive
2846,17,5,Top-notch retirement plan.,0.0,1.0,0.0,0.0,neutral
1747,11,3,"Satisfactory, but could improve.",0.0,0.263,0.737,0.6808,positive
2566,1,2,Returns are not as expected.,0.0,1.0,0.0,0.0,neutral
4468,23,1,Disappointing service.,0.762,0.238,0.0,-0.4939,negative
3405,4,5,Top-notch retirement plan.,0.0,1.0,0.0,0.0,neutral
4732,26,5,Fantastic benefit! I use it daily.,0.0,0.303,0.697,0.784,positive
1326,22,5,Excellent coverage and affordable.,0.0,0.448,0.552,0.5719,positive
738,4,2,Returns are not as expected.,0.0,1.0,0.0,0.0,neutral
269,19,3,"It's okay, I use it occasionally.",0.0,0.678,0.322,0.2263,positive
2452,19,2,Not many locations available.,0.0,1.0,0.0,0.0,neutral
1598,30,1,Not worth the hassle.,0.357,0.643,0.0,-0.1695,neutral
3914,7,2,Could use more vacation time.,0.0,1.0,0.0,0.0,neutral
1627,16,5,Excellent coverage and affordable.,0.0,0.448,0.552,0.5719,positive
2880,3,5,"Generous vacation days, very happy.",0.0,0.291,0.709,0.807,positive
1673,5,2,Not much flexibility offered.,0.404,0.596,0.0,-0.2584,negative
1974,10,3,Helps a bit with childcare costs.,0.0,0.606,0.394,0.3818,positive
4063,20,5,Incredible support for education.,0.0,0.526,0.474,0.4019,positive
2700,28,5,Great peace of mind for my family.,0.0,0.397,0.603,0.8225,positive
2083,9,1,Inconvenient and inefficient.,0.545,0.455,0.0,-0.34,negative
2186,22,1,"Terrible service, would not recommend.",0.635,0.365,0.0,-0.6381,negative
2394,6,2,Returns are not as expected.,0.0,1.0,0.0,0.0,neutral
1556,26,3,"It's okay, I use it occasionally.",0.0,0.678,0.322,0.2263,positive
3681,3,1,Barely any time off given.,0.0,1.0,0.0,0.0,neutral
2094,19,4,"Good value, I enjoy the variety.",0.0,0.19,0.81,0.8176,positive
4041,25,2,Coverage is minimal.,0.0,1.0,0.0,0.0,neutral
4018,22,3,"Satisfactory, but could improve.",0.0,0.263,0.737,0.6808,positive
4776,12,5,Incredible support for education.,0.0,0.526,0.474,0.4019,positive
2752,20,5,Incredible support for education.,0.0,0.526,0.474,0.4019,positive
1583,6,5,Top-notch retirement plan.,0.0,1.0,0.0,0.0,neutral
2974,20,1,Not worth the hassle.,0.357,0.643,0.0,-0.1695,neutral
4146,11,4,"Great coverage, but a bit expensive.",0.0,0.611,0.389,0.3716,positive
3798,5,5,Perfect for my work-life balance.,0.0,0.519,0.481,0.5719,positive
3033,27,5,Top-notch retirement plan.,0.0,1.0,0.0,0.0,neutral
4475,2,1,"Terrible service, would not recommend.",0.635,0.365,0.0,-0.6381,negative
4170,27,2,Returns are not as expected.,0.0,1.0,0.0,0.0,neutral
2143,12,1,Not worth the hassle.,0.357,0.643,0.0,-0.1695,neutral
14,10,5,Very convenient and cost-effective.,0.0,1.0,0.0,0.0,neutral
973,3,3,Average amount of vacation days.,0.0,1.0,0.0,0.0,neutral
1813,4,1,Unhappy with this benefit.,0.359,0.256,0.385,0.0516,neutral
4966,21,1,Disappointing service.,0.762,0.238,0.0,-0.4939,negative
418,30,1,Not worth the hassle.,0.357,0.643,0.0,-0.1695,neutral
4580,9,2,Not much flexibility offered.,0.404,0.596,0.0,-0.2584,negative
3792,19,1,Membership is not very useful.,0.396,0.604,0.0,-0.3865,negative
21,25,1,Disappointing service.,0.762,0.238,0.0,-0.4939,negative
858,13,4,"Very flexible, I appreciate it.",0.0,0.279,0.721,0.6335,positive
247,5,4,"Very flexible, I appreciate it.",0.0,0.279,0.721,0.6335,positive
885,7,3,Average amount of vacation days.,0.0,1.0,0.0,0.0,neutral
90,6,3,"Standard, nothing exceptional.",0.0,1.0,0.0,0.0,neutral
4949,9,5,Perfect for my work-life balance.,0.0,0.519,0.481,0.5719,positive
17,24,1,Membership is not very useful.,0.396,0.604,0.0,-0.3865,negative
853,7,5,"Generous vacation days, very happy.",0.0,0.291,0.709,0.807,positive
4891,21,4,"Solid plan, happy with it.",0.0,0.361,0.639,0.6486,positive
2864,27,3,"Standard, nothing exceptional.",0.0,1.0,0.0,0.0,neutral
1531,4,4,Good plan with decent returns.,0.0,0.58,0.42,0.4404,positive
30,7,4,Sufficient time off provided.,0.0,1.0,0.0,0.0,neutral
3663,20,1,Not worth the hassle.,0.357,0.643,0.0,-0.1695,neutral
17,8,2,Could use more vacation time.,0.0,1.0,0.0,0.0,neutral
4134,20,5,Incredible support for education.,0.0,0.526,0.474,0.4019,positive
4055,24,3,"It's okay, I use it occasionally.",0.0,0.678,0.322,0.2263,positive
4297,27,3,"Standard, nothing exceptional.",0.0,1.0,0.0,0.0,neutral
3334,5,4,"Very flexible, I appreciate it.",0.0,0.279,0.721,0.6335,positive
2214,3,1,Barely any time off given.,0.0,1.0,0.0,0.0,neutral
4543,7,3,Average amount of vacation days.,0.0,1.0,0.0,0.0,neutral
549,22,4,"Great coverage, but a bit expensive.",0.0,0.611,0.389,0.3716,positive
840,5,5,Perfect for my work-life balance.,0.0,0.519,0.481,0.5719,positive
49,21,5,Great peace of mind for my family.,0.0,0.397,0.603,0.8225,positive
4187,10,4,Good quality care available.,0.0,0.247,0.753,0.7269,positive
2071,29,4,Sufficient time off provided.,0.0,1.0,0.0,0.0,neutral
3771,20,2,Complicated reimbursement process.,0.0,1.0,0.0,0.0,neutral
2466,16,3,"Satisfactory, but could improve.",0.0,0.263,0.737,0.6808,positive
3767,3,3,Average amount of vacation days.,0.0,1.0,0.0,0.0,neutral
3086,3,1,Barely any time off given.,0.0,1.0,0.0,0.0,neutral
1371,22,3,"Satisfactory, but could improve.",0.0,0.263,0.737,0.6808,positive
909,17,5,Top-notch retirement plan.,0.0,1.0,0.0,0.0,neutral
2,6,1,Unhappy with this benefit.,0.359,0.256,0.385,0.0516,neutral
1130,25,3,"Average, but necessary.",0.0,1.0,0.0,0.0,neutral
1246,8,3,Average amount of vacation days.,0.0,1.0,0.0,0.0,neutral
207,6,4,Good plan with decent returns.,0.0,0.58,0.42,0.4404,positive
1033,26,2,Not many locations available.,0.0,1.0,0.0,0.0,neutral
3800,23,4,"Solid plan, happy with it.",0.0,0.361,0.639,0.6486,positive
2927,12,3,Helps but limited in scope.,0.329,0.42,0.252,-0.1406,neutral
952,5,2,Not much flexibility offered.,0.404,0.596,0.0,-0.2584,negative
1644,15,2,Complicated reimbursement process.,0.0,1.0,0.0,0.0,neutral
2897,30,1,Not worth the hassle.,0.357,0.643,0.0,-0.1695,neutral
1512,30,2,Complicated reimbursement process.,0.0,1.0,0.0,0.0,neutral
2108,2,2,Not happy with the coverage options.,0.375,0.625,0.0,-0.4585,negative
